GameUID,NOC1,NOC2,ResultStr1,ResultStr2,LSFE,Winner,TeamID1,TeamID2
0_1_1,SWE,GBR,5,9,0,0,19,27
0_1_2,AUS,USA,5,6,1,0,46,20
0_1_3,NOR,CZE,6,7,0,0,17,22
0_1_4,CHN,SUI,7,6,1,1,43,18
0_2_1,AUS,CHN,5,6,0,0,46,43
0_2_2,SWE,CZE,7,4,1,1,19,22
0_2_3,USA,ITA,4,8,1,0,20,24
0_2_4,GBR,CAN,6,4,0,1,27,10
0_3_1,ITA,SUI,8,7,0,1,24,18
0_3_2,USA,NOR,6,11,1,0,20,17
0_4_1,NOR,CAN,6,7,1,0,17,10
0_4_2,SUI,GBR,8,7,0,1,18,27
0_4_3,CHN,SWE,6,7,0,0,43,19
0_4_4,CZE,AUS,8,2,1,1,22,46
0_5_1,SWE,AUS,7,6,1,1,19,46
0_5_2,CAN,SUI,7,5,0,1,10,18
0_5_3,ITA,NOR,11,8,0,1,24,17
0_6_1,CZE,ITA,2,10,0,0,22,24
0_6_2,CHN,CAN,6,8,1,0,43,10
0_6_3,GBR,AUS,9,8,1,1,27,46
0_6_4,SWE,USA,7,8,1,0,19,20
0_7_1,AUS,NOR,4,10,0,0,46,17
0_7_2,SUI,SWE,1,6,0,0,18,19
0_8_1,CHN,USA,5,7,0,0,43,20
0_8_2,CZE,GBR,3,8,1,0,22,27
0_8_3,SWE,CAN,6,2,0,1,19,10
0_8_4,AUS,ITA,3,7,0,0,46,24
0_9_1,GBR,ITA,5,7,0,0,27,24
0_9_2,NOR,CHN,9,6,0,1,17,43
0_9_3,CZE,SUI,3,11,0,0,22,18
0_9_4,USA,CAN,2,7,1,0,20,10
0_10_1,USA,CZE,8,10,0,0,20,22
0_10_2,GBR,CHN,6,5,0,1,27,43
0_11_1,NOR,SWE,6,2,1,1,17,19
0_11_2,AUS,SUI,9,6,1,1,46,18
0_11_3,ITA,CHN,8,4,0,1,24,43
0_11_4,CAN,CZE,7,5,0,1,10,22
0_12_1,CAN,AUS,8,10,0,0,10,46
0_12_2,ITA,SWE,12,8,0,1,24,19
0_12_3,SUI,USA,6,5,1,1,18,20
0_12_4,NOR,GBR,6,2,0,1,17,27
0_13_1,SUI,NOR,5,6,1,0,18,17
0_13_2,CAN,ITA,7,8,0,0,10,24
0_13_3,USA,GBR,4,8,1,0,20,27
0_13_4,CZE,CHN,8,6,0,1,22,43
0_46_1,ITA,SWE,8,1,1,1,24,19
0_46_2,NOR,GBR,6,5,1,1,17,27
0_48_1,SWE,GBR,9,3,0,1,19,27
0_49_1,ITA,NOR,8,5,1,1,24,17
22230015_1_1,KOR,HUN,11,5,1,1,44,36
22230015_1_2,NED,AUS,6,7,0,0,25,46
22230015_1_3,CAN,SCO,8,4,1,1,10,14
22230015_1_4,ITA,CZE,7,4,1,1,24,22
22230015_1_5,EST,DEN,6,7,0,0,37,11
22230015_2_1,JPN,GER,7,6,1,1,16,15
22230015_2_2,ESP,NOR,6,7,1,0,34,17
22230015_2_3,SUI,ENG,11,2,1,1,18,23
22230015_2_4,TUR,AUT,7,6,1,1,51,28
22230015_2_5,USA,SWE,7,6,0,1,20,19
22230015_3_1,AUS,ITA,7,1,0,1,46,24
22230015_3_2,HUN,CZE,5,6,1,0,36,22
22230015_3_3,EST,KOR,8,5,0,1,37,44
22230015_3_4,DEN,SCO,1,7,0,0,11,14
22230015_3_5,NED,CAN,5,10,0,0,25,10
22230015_4_1,NOR,TUR,6,4,0,1,17,51
22230015_4_2,GER,AUT,6,11,1,0,15,28
22230015_4_3,USA,JPN,5,7,1,0,20,16
22230015_4_4,SWE,ENG,10,3,1,1,19,23
22230015_4_5,ESP,SUI,7,8,1,0,34,18
22230015_5_1,SCO,NED,7,4,0,1,14,25
22230015_5_2,KOR,DEN,6,9,0,0,44,11
22230015_5_3,HUN,ITA,4,8,1,0,36,24
22230015_5_4,CAN,EST,4,7,1,0,10,37
22230015_5_5,AUS,CZE,3,9,0,0,46,22
22230015_6_1,ENG,ESP,3,9,0,0,23,34
22230015_6_2,JPN,SWE,8,7,0,1,16,19
22230015_6_3,GER,TUR,6,12,0,0,15,51
22230015_6_4,SUI,USA,2,8,0,0,18,20
22230015_6_5,NOR,AUT,6,2,1,1,17,28
22230015_7_1,CZE,EST,6,12,0,0,22,37
22230015_7_2,CAN,ITA,8,4,1,1,10,24
22230015_7_3,DEN,AUS,7,9,1,0,11,46
22230015_7_4,SCO,KOR,11,6,1,1,14,44
22230015_7_5,HUN,NED,6,8,0,0,36,25
22230015_8_1,AUT,USA,2,10,0,0,28,20
22230015_8_2,SUI,TUR,5,4,1,1,18,51
22230015_8_3,SWE,NOR,5,9,1,0,19,17
22230015_8_4,ENG,JPN,7,12,0,0,23,16
22230015_8_5,GER,ESP,6,7,1,0,15,34
22230015_9_1,CAN,AUS,11,6,1,1,10,46
22230015_9_2,EST,HUN,9,2,1,1,37,36
22230015_9_3,KOR,CZE,12,7,0,1,44,22
22230015_9_4,NED,DEN,8,7,0,1,25,11
22230015_9_5,ITA,SCO,6,8,0,0,24,14
22230015_10_1,SUI,NOR,5,7,0,0,18,17
22230015_10_2,USA,GER,7,1,1,1,20,15
22230015_10_3,JPN,AUT,9,2,1,1,16,28
22230015_10_4,ESP,SWE,2,11,0,0,34,19
22230015_10_5,TUR,ENG,8,2,1,1,51,23
22230015_11_1,EST,SCO,6,5,0,1,37,14
22230015_11_2,AUS,KOR,10,7,1,1,46,44
22230015_11_3,ITA,NED,8,6,1,1,24,25
22230015_11_4,CZE,CAN,3,8,0,0,22,10
22230015_11_5,DEN,HUN,5,6,1,0,11,36
22230015_12_1,USA,ENG,7,2,1,1,20,23
22230015_12_2,NOR,JPN,8,10,1,0,17,16
22230015_12_3,TUR,ESP,10,4,0,1,51,34
22230015_12_4,AUT,SUI,5,7,1,0,28,18
22230015_12_5,SWE,GER,4,9,0,0,19,15
22230015_13_1,NED,CZE,5,7,0,0,25,22
22230015_13_2,DEN,CAN,2,8,1,0,11,10
22230015_13_3,SCO,HUN,7,6,0,1,14,36
22230015_13_4,EST,AUS,9,3,1,1,37,46
22230015_13_5,KOR,ITA,3,6,0,0,44,24
22230015_14_1,ESP,AUT,7,5,1,1,34,28
22230015_14_2,SWE,SUI,4,8,1,0,19,18
22230015_14_3,ENG,GER,3,8,1,0,23,15
22230015_14_4,USA,NOR,5,3,1,1,20,17
22230015_14_5,JPN,TUR,7,4,1,1,16,51
22230015_15_1,HUN,CAN,7,8,0,0,36,10
22230015_15_2,ITA,EST,6,7,1,0,24,37
22230015_15_3,CZE,DEN,5,6,0,0,22,11
22230015_15_4,KOR,NED,4,8,1,0,44,25
22230015_15_5,SCO,AUS,8,6,1,1,14,46
22230015_16_1,GER,SUI,7,8,0,0,15,18
22230015_16_2,TUR,USA,7,8,0,0,51,20
22230015_16_3,AUT,SWE,2,10,0,0,28,19
22230015_16_4,JPN,ESP,7,5,0,1,16,34
22230015_16_5,ENG,NOR,2,9,0,0,23,17
22230015_17_1,ITA,DEN,9,11,1,0,24,11
22230015_17_2,CZE,SCO,5,6,0,0,22,14
22230015_17_3,NED,EST,8,6,0,1,25,37
22230015_17_4,AUS,HUN,7,5,0,1,46,36
22230015_17_5,CAN,KOR,7,6,1,1,10,44
22230015_18_1,TUR,SWE,8,9,1,0,51,19
22230015_18_2,AUT,ENG,8,2,0,1,28,23
22230015_18_3,ESP,USA,9,8,1,1,34,20
22230015_18_4,NOR,GER,6,4,1,1,17,15
22230015_18_5,SUI,JPN,9,1,0,1,18,16
22230015_41_1,USA,SCO,8,6,1,1,20,14
22230015_41_2,NOR,EST,8,5,0,1,17,37
22230015_45_1,GER,CZE,3,5,1,0,15,22
22230015_45_2,AUT,KOR,6,8,1,0,28,44
22230015_46_1,USA,CAN,6,2,0,1,20,10
22230015_46_2,JPN,NOR,5,4,1,1,16,17
22230015_48_1,NOR,CAN,6,2,0,1,17,10
22230015_49_1,JPN,USA,2,8,1,0,16,20
23240026_1_1,DEN,GER,4,6,0,0,11,15
23240026_1_2,ESP,ITA,2,5,1,0,34,24
23240026_1_3,TUR,EST,5,7,0,0,51,37
23240026_1_4,SUI,FRA,8,4,0,1,18,13
23240026_1_5,NOR,JPN,5,6,0,0,17,16
23240026_2_1,SCO,CZE,7,3,0,1,14,22
23240026_2_2,CHN,NED,9,5,0,1,43,25
23240026_2_3,SWE,USA,6,5,0,1,19,20
23240026_2_4,NZL,CAN,2,7,0,0,30,10
23240026_2_5,KOR,AUS,5,6,1,0,44,46
23240026_3_1,ITA,SUI,4,8,0,0,24,18
23240026_3_2,GER,FRA,9,5,1,1,15,13
23240026_3_3,NOR,DEN,6,7,1,0,17,11
23240026_3_4,JPN,EST,4,7,0,0,16,37
23240026_3_5,ESP,TUR,3,7,1,0,34,51
23240026_4_1,NED,NZL,6,2,1,1,25,30
23240026_4_2,CZE,CAN,3,8,1,0,22,10
23240026_4_3,KOR,SCO,6,4,0,1,44,14
23240026_4_4,AUS,USA,7,8,1,0,46,20
23240026_4_5,CHN,SWE,3,9,0,0,43,19
23240026_5_1,EST,ESP,10,2,1,1,37,34
23240026_5_2,DEN,JPN,3,8,0,0,11,16
23240026_5_3,GER,SUI,3,9,0,0,15,18
23240026_5_4,TUR,NOR,5,6,0,0,51,17
23240026_5_5,ITA,FRA,10,6,0,1,24,13
23240026_6_1,USA,CHN,8,6,0,1,20,43
23240026_6_2,SCO,AUS,7,5,1,1,14,46
23240026_6_3,CZE,NZL,8,6,1,1,22,30
23240026_6_4,SWE,KOR,8,5,1,1,19,44
23240026_6_5,NED,CAN,0,11,0,0,25,10
23240026_7_1,FRA,NOR,2,8,1,0,13,17
23240026_7_2,TUR,SUI,3,10,0,0,51,18
23240026_7_3,JPN,ITA,2,8,1,0,16,24
23240026_7_4,EST,DEN,7,8,1,0,37,11
23240026_7_5,GER,ESP,7,4,1,1,15,34
23240026_8_1,CAN,KOR,6,4,0,1,10,44
23240026_8_2,SWE,NZL,7,1,1,1,19,30
23240026_8_3,AUS,NED,4,9,0,0,46,25
23240026_8_4,USA,SCO,8,4,0,1,20,14
23240026_8_5,CZE,CHN,9,2,1,1,22,43
23240026_9_1,TUR,ITA,3,8,1,0,51,24
23240026_9_2,NOR,GER,7,4,1,1,17,15
23240026_9_3,DEN,FRA,8,10,1,0,11,13
23240026_9_4,ESP,JPN,4,7,0,0,34,16
23240026_9_5,SUI,EST,8,4,1,1,18,37
23240026_10_1,SWE,NED,6,2,1,1,19,25
23240026_10_2,KOR,CZE,9,3,1,1,44,22
23240026_10_3,SCO,CAN,5,12,0,0,14,10
23240026_10_4,CHN,AUS,6,5,0,1,43,46
23240026_10_5,NZL,USA,4,5,0,0,30,20
23240026_11_1,NOR,EST,9,4,1,1,17,37
23240026_11_2,ITA,DEN,9,4,0,1,24,11
23240026_11_3,SUI,ESP,8,1,1,1,18,34
23240026_11_4,FRA,TUR,4,7,0,0,13,51
23240026_11_5,JPN,GER,7,5,0,1,16,15
23240026_12_1,KOR,USA,7,5,1,1,44,20
23240026_12_2,NED,SCO,5,7,0,0,25,14
23240026_12_3,NZL,CHN,4,8,1,0,30,43
23240026_12_4,CAN,SWE,5,6,0,0,10,19
23240026_12_5,AUS,CZE,7,6,1,1,46,22
23240026_13_1,ESP,FRA,10,6,0,1,34,13
23240026_13_2,JPN,TUR,7,5,0,1,16,51
23240026_13_3,EST,GER,10,2,1,1,37,15
23240026_13_4,NOR,ITA,7,4,0,1,17,24
23240026_13_5,DEN,SUI,9,4,0,1,11,18
23240026_14_1,CHN,CAN,4,10,0,0,43,10
23240026_14_2,AUS,SWE,6,7,0,0,46,19
23240026_14_3,USA,CZE,4,7,1,0,20,22
23240026_14_4,KOR,NED,7,6,0,1,44,25
23240026_14_5,SCO,NZL,9,3,1,1,14,30
23240026_15_1,GER,TUR,8,5,1,1,15,51
23240026_15_2,SUI,NOR,5,6,1,0,18,17
23240026_15_3,FRA,JPN,8,7,0,1,13,16
23240026_15_4,DEN,ESP,10,7,0,1,11,34
23240026_15_5,EST,ITA,8,6,1,1,37,24
23240026_16_1,CZE,SWE,4,7,1,0,22,19
23240026_16_2,NZL,KOR,8,5,1,1,30,44
23240026_16_3,CAN,AUS,11,4,1,1,10,46
23240026_16_4,SCO,CHN,6,4,1,1,14,43
23240026_16_5,USA,NED,10,0,1,1,20,25
23240026_17_1,SUI,JPN,7,8,1,0,18,16
23240026_17_2,FRA,EST,3,8,0,0,13,37
23240026_17_3,ESP,NOR,3,9,0,0,34,17
23240026_17_4,ITA,GER,8,6,0,1,24,15
23240026_17_5,TUR,DEN,7,5,1,1,51,11
23240026_18_1,NZL,AUS,2,7,1,0,30,46
23240026_18_2,CAN,USA,12,6,0,1,10,20
23240026_18_3,CHN,KOR,5,7,1,0,43,44
23240026_18_4,NED,CZE,7,1,1,1,25,22
23240026_18_5,SWE,SCO,4,8,1,0,19,14
23240026_41_1,EST,CAN,6,5,0,1,37,10
23240026_41_2,SUI,SCO,8,6,1,1,18,14
23240026_45_1,CZE,TUR,8,4,0,1,22,51
23240026_45_2,AUS,FRA,7,5,0,1,46,13
23240026_46_1,NOR,EST,6,8,1,0,17,37
23240026_46_2,SUI,SWE,3,6,0,0,18,19
23240026_48_1,NOR,SUI,6,5,1,1,17,18
23240026_49_1,EST,SWE,4,8,0,0,37,19
24250026_1_1,CAN,GER,10,5,1,1,10,15
24250026_1_2,CHN,KOR,7,4,1,1,43,44
24250026_1_3,SCO,NED,10,3,0,1,14,25
24250026_1_4,FIN,ITA,3,10,0,0,12,24
24250026_1_5,DEN,SWE,4,5,1,0,11,19
24250026_2_1,ESP,JPN,1,9,0,0,34,16
24250026_2_2,AUS,SUI,7,3,0,1,46,18
24250026_2_3,USA,TUR,11,3,1,1,20,51
24250026_2_4,CZE,NOR,8,9,1,0,22,17
24250026_2_5,NZL,EST,4,8,0,0,30,37
24250026_3_1,KOR,FIN,6,8,0,0,44,12
24250026_3_2,GER,ITA,3,10,0,0,15,24
24250026_3_3,DEN,CAN,4,6,1,0,11,10
24250026_3_4,SWE,NED,9,4,1,1,19,25
24250026_3_5,CHN,SCO,5,8,0,0,43,14
24250026_4_1,SUI,CZE,6,7,1,0,18,22
24250026_4_2,JPN,NOR,5,8,1,0,16,17
24250026_4_3,NZL,ESP,13,5,0,1,30,34
24250026_4_4,EST,TUR,9,2,1,1,37,51
24250026_4_5,AUS,USA,10,7,1,1,46,20
24250026_5_1,NED,CHN,3,5,0,0,25,43
24250026_5_2,CAN,SWE,8,6,0,1,10,19
24250026_5_3,GER,FIN,6,12,1,0,15,12
24250026_5_4,SCO,DEN,7,3,1,1,14,11
24250026_5_5,KOR,ITA,4,9,0,0,44,24
24250026_6_1,TUR,AUS,2,10,0,0,51,46
24250026_6_2,ESP,EST,5,6,0,0,34,37
24250026_6_3,JPN,CZE,7,6,1,1,16,22
24250026_6_4,USA,NZL,10,2,1,1,20,30
24250026_6_5,SUI,NOR,8,3,0,1,18,17
24250026_7_1,ITA,DEN,8,5,1,1,24,11
24250026_7_2,SCO,FIN,9,2,1,1,14,12
24250026_7_3,SWE,KOR,9,6,0,1,19,44
24250026_7_4,NED,CAN,3,7,1,0,25,10
24250026_7_5,GER,CHN,7,6,1,1,15,43
24250026_8_1,NOR,NZL,10,6,0,1,17,30
24250026_8_2,USA,CZE,6,3,1,1,20,22
24250026_8_3,EST,SUI,4,6,1,0,37,18
24250026_8_4,TUR,ESP,8,6,1,1,51,34
24250026_8_5,JPN,AUS,7,4,0,1,16,46
24250026_9_1,SCO,KOR,7,10,0,0,14,44
24250026_9_2,DEN,GER,1,7,1,0,11,15
24250026_9_3,CAN,ITA,5,7,0,0,10,24
24250026_9_4,CHN,SWE,5,10,0,0,43,19
24250026_9_5,FIN,NED,6,3,0,1,12,25
24250026_10_1,USA,SUI,9,5,0,1,20,18
24250026_10_2,NZL,JPN,6,3,1,1,30,16
24250026_10_3,ESP,NOR,2,10,0,0,34,17
24250026_10_4,AUS,EST,7,4,1,1,46,37
24250026_10_5,CZE,TUR,8,3,1,1,22,51
24250026_11_1,DEN,NED,7,5,1,1,11,25
24250026_11_2,KOR,CAN,6,11,0,0,44,10
24250026_11_3,FIN,CHN,9,7,1,1,12,43
24250026_11_4,ITA,SCO,7,4,1,1,24,14
24250026_11_5,SWE,GER,8,6,0,1,19,15
24250026_12_1,NZL,TUR,8,5,0,1,30,51
24250026_12_2,SUI,ESP,10,1,1,1,18,34
24250026_12_3,CZE,AUS,2,7,1,0,22,46
24250026_12_4,NOR,USA,3,9,0,0,17,20
24250026_12_5,EST,JPN,10,8,1,1,37,16
24250026_13_1,CHN,ITA,2,8,0,0,43,24
24250026_13_2,SWE,SCO,6,7,1,0,19,14
24250026_13_3,NED,GER,7,5,1,1,25,15
24250026_13_4,DEN,KOR,4,6,1,0,11,44
24250026_13_5,CAN,FIN,13,2,1,1,10,12
24250026_14_1,AUS,NOR,8,7,1,1,46,17
24250026_14_2,EST,USA,7,6,1,1,37,20
24250026_14_3,TUR,JPN,3,9,0,0,51,16
24250026_14_4,NZL,SUI,8,7,0,1,30,18
24250026_14_5,ESP,CZE,2,6,1,0,34,22
24250026_15_1,GER,SCO,1,7,0,0,15,14
24250026_15_2,FIN,DEN,10,3,0,1,12,11
24250026_15_3,ITA,SWE,6,4,0,1,24,19
24250026_15_4,CAN,CHN,9,4,1,1,10,43
24250026_15_5,NED,KOR,5,9,0,0,25,44
24250026_16_1,JPN,USA,8,6,0,1,16,20
24250026_16_2,CZE,NZL,5,7,0,0,22,30
24250026_16_3,NOR,EST,10,9,1,1,17,37
24250026_16_4,ESP,AUS,3,8,0,0,34,46
24250026_16_5,TUR,SUI,3,9,1,0,51,18
24250026_17_1,FIN,SWE,3,7,0,0,12,19
24250026_17_2,ITA,NED,8,5,0,1,24,25
24250026_17_3,CHN,DEN,5,6,0,0,43,11
24250026_17_4,KOR,GER,8,4,1,1,44,15
24250026_17_5,SCO,CAN,8,7,1,1,14,10
24250026_18_1,CZE,EST,5,6,1,0,22,37
24250026_18_2,NOR,TUR,7,4,1,1,17,51
24250026_18_3,AUS,NZL,7,5,0,1,46,30
24250026_18_4,SUI,JPN,7,6,1,1,18,16
24250026_18_5,USA,ESP,10,2,0,1,20,34
24250026_41_1,EST,CAN,7,5,1,1,37,10
24250026_41_2,USA,SCO,5,7,0,0,20,14
24250026_45_1,DEN,TUR,9,0,0,1,11,51
24250026_45_2,CZE,CHN,7,5,1,1,22,43
24250026_46_1,ITA,EST,7,6,1,1,24,37
24250026_46_2,AUS,SCO,6,9,1,0,46,14
24250026_46_3,CAN,USA,4,8,1,0,10,20
24250026_48_1,AUS,EST,9,2,1,1,46,37
24250026_49_1,SCO,ITA,4,9,0,0,14,24
